No.,universiteler,2011_onerilen,2011_desteklenen,2011_aktarilan,2012_onerilen,2012_desteklenen,2012_aktarilan,2013_onerilen,2013_desteklenen,2013_aktarilan,2014_onerilen,2014_desteklenen,2014_aktarilan,2015_onerilen,2015_desteklenen,2015_aktarilan,,,,,
1,ABANT İZZET BAYSAL Ü.,27,4,1792547,55,9,1488333,59,10,1949690,73,17,2011887,69,8,1666419,,,,,
2,ABDULLAH GÜL Ü.,0,1,30098,2,0,9404,17,5,595653,29,6,1013817,41,7,2142355,,,,,
3,ACIBADEM Ü.,7,0,125716,16,3,194699,27,3,740398,33,5,538711,20,9,1927654,,,,,
4,ADANA BİLİM VE TEKNOLOJİ Ü.,0,0,0,0,0,0,13,1,37291,27,3,100013,21,7,76471,,,,,
5,ADIYAMAN Ü.,6,0,0,4,2,163308,9,2,568988,17,0,68294,23,3,488761,,,,,
6,ADNAN MENDERES Ü.,75,15,1969858,68,11,2937185,53,12,3030745,89,23,3428887,105,11,3018425,,,,,
7,AFYON KOCATEPE Ü.,37,8,1299885,46,2,968787,50,15,2518061,59,9,1721960,68,7,1526310,,,,,
8,AĞRI İBRAHİM ÇEÇEN Ü.,2,0,0,2,1,146811,4,1,117214,6,1,51163,5,0,54131,,,,,
9,AHİ EVRAN Ü.,5,4,671367,11,1,296822,11,1,402235,23,7,819478,27,3,285507,,,,,
10,AKDENİZ Ü.,103,39,6871233,129,27,5622064,142,40,6322918,213,55,6708740,222,57,9762105,,,,,
11,AKSARAY Ü.,23,5,82287,19,5,656429,23,4,503485,37,7,727402,42,2,550014,,,,,
12,ALANYA ALAADDİN KEYKUBAT Ü.,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,
13,ALANYA HAMDULLAH EMİN PAŞA Ü.,0,0,0,0,0,0,0,0,0,1,0,0,2,1,30924,,,,,
14,AMASYA Ü.,2,0,0,3,0,0,8,2,15198,3,1,114116,4,0,29863,,,,,
15,ANADOLU Ü.,49,10,2486154,47,11,2049998,79,20,3329597,82,17,2657869,140,19,2644670,,,,,
16,ANKARA SOSYAL BİLİMLER Ü.,0,0,0,0,0,0,0,0,0,1,0,0,2,2,71963,,,,,
17,ANKARA Ü.,196,64,13165836,218,38,11239019,226,57,10796670,308,77,12732813,335,86,14874640,,,,,
18,ARDAHAN Ü.,5,0,20587,3,1,2519,6,2,73759,4,1,55963,9,1,114324,,,,,
19,ARTVİN ÇORUH Ü.,3,0,24978,6,0,0,5,1,245502,12,3,326521,7,1,321833,,,,,
20,ATATÜRK Ü.,91,10,3195286,109,15,2841714,106,24,6812625,194,36,5539787,282,40,7138619,,,,,
21,ATILIM Ü.,16,3,598258,27,6,1143483,28,6,2248631,31,6,596191,39,7,2213955,,,,,
22,AVRASYA Ü.,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,,,,
23,BAHÇEŞEHİR Ü.,15,10,881901,24,5,1059370,61,7,1496868,48,9,788292,81,5,1830002,,,,,
24,BALIKESİR Ü.,26,6,992171,31,3,675219,48,11,1173238,59,10,985933,56,4,960194,,,,,
25,BANDIRMA ONYEDİ EYLÜL Ü.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
